re-前缀 “向后， 在一次”
remind  使想起

resolution 正式决定

solve 解决

recycle 回收利用

reusable 可重复利用

require 需要

request 要求

repeat 重复

reporter 记者

report 汇报

response 回答

respond 回答

refuse 拒绝

reply 回答

receive 拿到

regret 感到遗憾的

relaxed 放松的

relief 宽慰

reflect 反映

recall 记起

remian 仍然是

research 研究

search 搜索

return 返回

repair修理


dis-前缀 “否定"
dislike 不喜欢的

disappear 消失
appear 显得

disblief不信
belief 相信
believe 相信

disappointed 失望的
disappoint 使失望

disagree 不同意
agree 同意

discovery 发现
discover 发现
cover掩盖


ex-前缀 “向外”
explanation 解释
explain 解释

bow 鞠躬
elbow 肘部

except除了

exchange 互换

expression 表示
express 表示
